Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
FN,6/29/2018,36.63,51.95,41.82364182364182,1371925,1218513,153412,0,59588,0,0,93824,-2189,91635,3606,88029,3862,0,0,84167,84167,84167
FN,6/30/2017,42.84,37.04,-13.538748832866489,1420490,1249030,171460,0,65626,0,0,105834,1344,107178,3321,103857,6742,0,0,97115,97115,97115
MBRX,12/31/2019,0.91,0.7971,-12.406593406593405,0,0,0,11013,6312,0,199,-17524,4090,-13434,0,-13434,-229,0,0,-13205,-13205,-13205
MBRX,12/31/2018,1.03,0.9151,-11.155339805825243,0,0,0,9728,5229,0,68,-15025,3149,-11876,0,-11876,0,0,0,-11876,-11876,-11876
MBRX,12/31/2017,1.88,1.04,-44.680851063829785,0,0,0,4545,4090,0,18,-8653,-1152,-9805,0,-9805,0,0,0,-9805,-9805,-9805
MBRX,12/31/2016,2.23,1.83,-17.937219730941703,0,0,0,1496,2381,0,6,-3883,0,-3926,0,-3926,0,0,0,-3926,-3926,-3926
MNDO,12/31/2019,2.42,2.59,7.0247933884297495,22664,10126,12538,4186,3312,0,0,5040,483,5523,0,5523,458,0,0,5065,5065,5065
MNDO,12/31/2018,2.28,2.4114,5.7631578947368505,18135,6146,11989,3747,2892,0,0,5350,222,5572,0,5572,438,0,0,5134,5134,5134
MNDO,12/31/2017,2.7849,2.28,-18.129914898201015,18062,7033,11029,3417,2926,0,0,4686,1523,6209,0,6209,597,0,0,5612,5612,5612
MNDO,12/31/2016,2.47,2.75,11.336032388663957,18052,6831,11221,3517,2498,0,0,5206,166,5372,0,5372,1169,0,0,4203,4203,4203
SHBI,12/31/2019,17.56,14.6,-16.85649202733485,69787,8726,0,0,34729,2223,1305,0,0,22804,910,21894,5610,0,0,16284,16198,16198
SHBI,12/31/2018,14.55,17.36,19.312714776632294,64920,3531,0,0,33984,1981,2540,0,0,22884,1741,21143,5380,0,0,15763,24997,24997
SHBI,12/31/2017,16.7,14.54,-12.934131736526947,56163,2242,0,0,31155,2254,2522,0,0,17990,31,17959,8734,0,0,9225,11262,11262
SHBI,12/31/2016,15.4,16.53,7.337662337662343,57297,2389,0,0,35141,1875,1979,0,0,15913,14,15899,6261,0,0,9638,9638,9638
QEP,12/31/2019,4.57,2.39,-47.70240700218819,1206200,255800,950400,0,251700,5100,540000,157500,-165800,-12200,128100,-140300,-43000,0,0,-97300,-97300,-97300
QEP,12/31/2018,5.49,4.5,-18.032786885245905,1932600,447200,1485400,0,352500,1561200,857100,-1260400,105800,-1179600,149400,-1329000,-317400,0,0,-1011600,-1011600,-1011600
QEP,12/31/2017,9.71,5.63,-42.01853759011329,1622900,611700,1011200,0,267800,100900,754500,101500,206900,94900,137800,-42900,-312200,0,0,269300,269300,269300
QEP,12/31/2016,18.9,10.06,-46.772486772486765,1377100,624400,752700,0,291300,1196000,871100,-1600700,-204300,-1810000,143200,-1953200,-708200,0,0,-1245000,-1245000,-1245000
DQ,12/31/2019,10.24,57.36,460.15625,349991,269887,80104,5708,26910,0,0,47485,798,48283,10397,37886,9623,0,1,28263,29524,29524
DQ,12/31/2018,4.602,10.24,122.51195132551062,301600,203486,98114,2737,14172,0,0,81205,3072,84277,10763,73514,11717,0,-641,61798,38766,38125
DQ,12/31/2017,12.024,4.68,-61.07784431137725,323200,179152,144048,676,12559,0,0,130812,459,131271,16262,115009,17332,0,-1014,97677,93855,92841
DQ,12/31/2016,3.936,12.514,217.9369918699187,196219,118408,77811,3878,12797,0,0,61136,156,61292,12720,48571,7358,0,-430,41213,43924,43494
JRVR,12/31/2019,41.26,49.15,19.122636936500243,907125,672102,235023,0,0,0,172560,51867,0,62463,10596,51867,13528,0,0,38339,38339,38339
JRVR,12/31/2018,36.2,41.21,13.839779005524855,885599,600276,285323,0,0,0,202932,70838,0,82391,11553,70838,7008,0,0,63830,63830,63830
JRVR,12/31/2017,40.03,36.54,-8.718461154134404,817625,555377,262248,0,0,0,198129,55145,0,64119,8974,55145,11579,0,0,43566,43566,43566
JRVR,12/31/2016,41.62,39.52,-5.045651129264763,586227,325421,260806,0,0,0,173015,79343,0,87791,8448,79343,4872,0,0,74471,74471,74471
VCV,10/31/2008,11,11,0.0,32029,3067,28963,0,148,0,-261,29076,-116075,29076,3197,25879,0,0,0,-90196,-90196,-97144
VCV,10/31/2007,11,11,0.0,32210,2923,29287,0,725,0,0,28562,-28366,27957,3086,24871,0,0,0,-2890,-2890,-9845
VCV,10/31/2006,11,11,0.0,37711,3464,34247,0,829,0,0,33418,0,23725,83,23642,0,0,0,33335,33335,27001
VCV,10/31/2005,11,11,0.0,16210,1483,14727,0,450,214,0,14063,-10595,10174,0,10174,0,0,0,3468,3468,1638
EB,12/31/2019,20.33,18.1,-10.96901131333004,326801,129141,197660,64196,203415,0,0,-69951,3985,-65966,2986,-68952,-192,0,0,-68760,-68760,-68760
EB,12/31/2018,27.6,20.17,-26.92028985507246,291611,120653,170958,46071,163562,0,0,-38675,-12958,-51633,11295,-62928,1150,0,0,-64078,-64078,-64078
EB,12/31/2017,36,27.81,-22.750000000000004,201597,81667,119930,30608,122729,0,0,-33407,1309,-32098,6462,-38560,-13,0,0,-38547,-38547,-38547
EB,12/31/2016,36,36.5,1.3888888888888888,133499,55689,77810,22723,90140,0,0,-35053,-1695,-36748,3513,-40261,131,0,0,-40392,-40392,-40392
RBCAA,12/31/2019,46.51,36.07,-22.446785637497307,355891,29135,0,0,168826,3357,25758,0,0,128815,15622,113193,21494,0,0,91699,91699,91699
RBCAA,12/31/2018,38.62,46.8,21.18073537027447,319606,17017,0,0,160393,3459,31368,0,0,107369,13106,94263,16411,0,0,77852,77852,77852
RBCAA,12/31/2017,38.03,38.72,1.8143570865106435,277192,9802,0,0,148434,2410,27704,0,0,88842,10456,78386,32754,0,0,45632,45632,45632
RBCAA,12/31/2016,40.21,38.44,-4.401890077095258,231501,6058,0,0,127551,2556,14493,0,0,80843,11880,68963,23060,0,0,45903,45903,45903
MTH,12/31/2019,61.6,82.82,34.44805194805193,3666944,2977649,689295,0,392821,0,0,296474,3942,311315,8370,302945,53282,10899,0,260562,249663,249663
MTH,12/31/2018,36.23,61.11,68.6723709632901,3528581,2890720,637861,0,380375,0,0,257486,11217,284039,785,283254,55922,15336,0,242668,227332,227332
MTH,12/31/2017,51.8,36.72,-29.11196911196911,3240975,2666279,574696,0,345688,0,0,229008,8506,251372,3853,247519,104264,13858,0,157113,143255,143255
MTH,12/31/2016,35.35,52.5,48.514851485148505,3041734,2503602,538132,0,338895,0,0,199237,4953,223232,5172,218060,68519,19042,0,168583,149541,149541
ZTR,12/31/2008,14.08,14.04,-0.28409090909091567,24302,4656,19645,0,660,0,0,18986,-77373,8578,0,8578,0,0,0,-58388,-58388,-58388
ZTR,12/31/2007,14.08,14.04,-0.28409090909091567,45590,4400,41191,0,712,0,0,40478,0,13024,0,13024,0,0,0,40478,40478,40478
ZTR,12/31/2006,14.08,14.04,-0.28409090909091567,37336,4096,33239,0,732,0,0,32507,0,11770,0,11770,0,0,0,32507,32507,32507
ZTR,12/31/2005,14.08,14.04,-0.28409090909091567,32436,4379,28057,0,1159,0,0,26898,-8717,10918,0,10918,0,0,0,18181,18181,18181
XOM,12/31/2019,70.24,41.22,-41.31548974943052,255583000,180627000,74956000,0,43158000,1269000,18998000,11531000,3914000,20886000,830000,20056000,5282000,5441000,-434000,19781000,14340000,14340000
XOM,12/31/2018,67.35,69.78,3.608017817371948,279332000,192854000,86478000,0,45428000,1466000,18745000,20839000,3525000,31719000,766000,30953000,9532000,7355000,-581000,28195000,20840000,20840000
XOM,12/31/2017,83.82,68.19,-18.647100930565493,237162000,160907000,76255000,0,42498000,1790000,19893000,12074000,1821000,19275000,601000,18674000,-1174000,5380000,-138000,25090000,19710000,19710000
XOM,12/31/2016,90.94,85.03,-6.498790411260168,200628000,134619000,66009000,0,41298000,1467000,22308000,936000,2680000,8422000,453000,7969000,-406000,4806000,-535000,12646000,7840000,7840000
PSHG,12/31/2019,8.487,4.57,-46.15293979026747,26846,14768,12078,0,8309,31629,3684,-31664,138,-31406,651,-32057,0,0,0,-32057,-32057,-32057
PSHG,12/31/2018,6.1,8.408,37.83606557377049,25566,16720,8846,0,8030,20654,4945,-41439,-16592,-41375,11520,-52895,0,0,0,-52895,-52895,-52895
PSHG,12/31/2017,40.6,6.5,-83.99014778325123,23806,24434,-628,0,8366,8363,8147,-24610,43166,17662,13843,3819,0,0,0,3819,3819,3819
PSHG,12/31/2016,169155.7585,40.3,-99.97617580367506,33194,33382,-188,0,7241,118861,12740,-142040,-2890,-141920,7094,-149014,0,0,0,-149014,-149014,-149014
FFHL,12/31/2019,2.7878,11.81,323.6315374130139,48182,36179,12003,0,8688,0,0,3316,-74,3242,1277,1965,334,0,0,1631,1631,1631
FFHL,12/31/2018,2.1289,2.82,32.462774202639864,48578,40613,7965,0,9607,0,0,-1641,361,-1280,1422,-2702,527,0,0,-3229,-3229,-3229
FFHL,12/31/2017,2.83,2.14,-24.381625441696112,44642,40480,4162,0,9373,0,0,-5211,-278,-5488,1452,-6940,124,0,0,-7064,-7064,-7064
FFHL,12/31/2016,1.79,3.1999,78.76536312849161,36539,33987,2552,0,8630,0,0,-6078,135,-5943,1132,-7075,765,0,0,-7840,-7840,-7840
UPWK,12/31/2019,10.32,34.52,234.49612403100778,300562,88144,212418,64027,163218,3905,0,-18732,3407,-15325,1306,-16631,28,0,0,-16659,-16659,-16659
UPWK,12/31/2018,17.85,10.67,-40.22408963585435,253354,81458,171896,55488,122299,5821,0,-11712,-6142,-17854,2038,-19892,15,0,0,-19907,-19907,-19907
UPWK,12/31/2017,23,18.11,-21.260869565217394,202552,65443,137109,45604,90378,4250,0,-3123,-62,-3185,960,-4145,-22,0,0,-4123,-4123,-10629
UPWK,12/31/2016,23,21.18,-7.913043478260871,164445,62578,101867,37902,72883,5550,0,-14468,-908,-15376,858,-16234,-1,0,0,-16233,-16233,-16233
CCXI,12/31/2019,39.57,61.92,56.48218347232752,36128,0,36128,70276,24155,0,0,-58303,4963,-53340,2149,-55489,0,0,0,-55489,-55489,-55489
CCXI,12/31/2018,10.74,39.55,268.2495344506517,42875,0,42875,62736,20409,0,0,-40270,3528,-36742,1224,-37966,0,0,0,-37966,-37966,-37966
CCXI,12/31/2017,5.93,10.91,83.9797639123103,82497,0,82497,49495,16509,0,0,16493,1370,17863,4,17859,0,0,0,17859,17859,17859
CCXI,12/31/2016,7.5,5.9,-21.33333333333333,11935,0,11935,37945,14710,0,0,-40720,757,-39963,0,-39963,0,0,0,-39963,-39963,-39963
CTXS,12/31/2019,111.59,130.1,16.5875078412044,3010564,464047,2546517,518877,1453385,22247,15890,536118,19356,555474,45974,509500,-172313,0,0,681813,681813,681813
CTXS,12/31/2018,100.55,110.9,10.293386374937851,2973903,433803,2540100,439984,1389577,16725,15854,677960,31657,709617,80162,629455,53788,0,0,575667,575667,575667
CTXS,12/31/2017,88.58,102.46,15.669451343418373,2824686,439646,2385040,415801,1308677,72375,17190,570997,30958,601955,51609,550346,528361,0,0,21985,-20719,-20719
CTXS,12/31/2016,73.5044,88.69,20.6594435163065,2736080,404889,2331191,395373,1293177,67401,15076,560164,12555,572719,44949,527770,57915,0,0,469855,536112,536112
PRAH,12/31/2019,111.39,125.44,12.613340515306579,3066262,2189621,876641,0,396760,0,114898,363925,-7069,360784,51987,308797,62808,0,-99,241962,243020,243020
PRAH,12/31/2018,89.45,111.15,24.25936277249861,2871922,2070631,801291,0,407612,0,112247,281312,-2486,279778,57399,222379,67232,143,-553,153785,153905,153905
PRAH,12/31/2017,91.07,91.96,0.9772702316899096,2259389,1594883,664506,0,409696,0,78227,176225,-55307,135941,46729,89212,-12623,123,-366,86569,86927,86927
PRAH,12/31/2016,55.5,90.79,63.58558558558559,1811711,1264376,547335,0,314727,0,69506,162349,-14295,186232,54913,131319,28494,2775,0,67422,68175,68175
FPAY,12/31/2019,2.59,2.57,-0.7722007722007729,88790,60222,28568,0,23464,0,0,5104,0,5104,4310,794,216,0,0,577,577,-1860
FPAY,12/31/2018,0.7745,2.53,226.66236281471916,61489,42063,19426,0,24605,0,0,-5178,-127,-5305,4156,-9461,0,0,0,-9461,-9461,-11888
FPAY,12/31/2017,3.99,0.7619,-80.90476190476191,67046,32452,34594,0,21622,19135,0,-6162,0,-6162,2168,-8331,0,0,0,-8331,-8331,-10647
FPAY,12/31/2016,6,3.92,-34.666666666666664,47580,23423,24157,0,21204,13281,0,-10329,0,-10329,1925,-12254,0,0,0,-12254,-12254,-13466
ICE,12/31/2019,92.84,115.29,24.181387333046104,6262000,0,6262000,0,3210000,1347000,662000,2388000,93000,2766000,285000,2481000,521000,0,-27000,1933000,1933000,1933000
ICE,12/31/2018,74.49,92.55,24.24486508256142,6032000,0,6032000,0,3073000,1331000,586000,2339000,181000,2764000,244000,2520000,500000,0,-32000,1988000,1988000,1988000
ICE,12/31/2017,70.77,75.33,6.443408223823658,5656000,0,5656000,0,2893000,1241000,535000,2192000,334000,2713000,187000,2526000,-28000,0,-28000,2526000,2526000,2526000
ICE,12/31/2016,56.9,69.85,22.759226713532506,5793000,0,5793000,0,3109000,1539000,610000,1994000,49000,2221000,178000,2043000,586000,0,-27000,1430000,1430000,1430000
PML,5/31/2009,9.42,9.57,1.592356687898093,70639,6409,64230,0,1533,0,0,62697,-292771,62697,2233,60464,0,0,0,-232307,-232307,-243508
PML,5/31/2008,9.42,9.57,1.592356687898093,85901,8378,77524,0,1593,0,0,75930,-78459,70526,4103,66424,0,0,0,-6631,-6631,-24190
PML,5/31/2007,9.42,9.57,1.592356687898093,98326,7156,91171,0,1507,0,0,89664,0,89664,4370,85294,0,0,0,85294,85294,67905
PML,5/31/2006,9.42,9.57,1.592356687898093,87983,7154,80829,0,1525,0,0,79304,-15393,62798,0,62798,0,0,0,63911,63911,50214
BRG,12/31/2019,12.1,12.67,4.710743801652895,209971,79348,130623,0,22553,911,70452,36707,66764,88673,59554,29119,0,9797,7624,46540,46540,-19751
BRG,12/31/2018,8.87,12.05,35.851183765501716,184716,72388,112328,0,19553,404,62683,29688,19978,37723,52998,-15275,0,10312,14123,9160,9160,-42759
BRG,12/31/2017,10.15,9.02,-11.133004926108383,123576,64257,59319,0,51095,4247,48624,-44647,66733,24492,31520,-7028,0,10336,-8617,-5309,-5309,-45679
BRG,12/31/2016,13.85,10.08,-27.22021660649819,81334,40663,40671,0,5926,4590,31187,-1032,6358,16941,19915,-2974,0,11632,-1355,7303,7303,-18985
KZR,12/31/2019,4.1,5.22,27.317073170731714,0,0,0,27363,9979,0,0,-37342,2255,-35087,0,-35087,0,0,0,-35087,-35087,-35087
KZR,12/31/2018,22.99,4.01,-82.557633753806,0,0,0,18136,6590,0,0,-24726,1559,-23167,0,-23167,0,0,0,-23167,-23167,-23167
KZR,12/31/2017,20,23.6,18.000000000000007,0,0,0,6469,2280,0,0,-8749,232,-8517,0,-8517,0,0,0,-8517,-8517,-8517
KZR,12/31/2016,20,17.75,-11.25,0,0,0,7373,1617,0,0,-8990,0,-8990,0,-8990,0,0,0,-8990,-8990,-8990
SYNA,6/30/2019,30,60.12,100.39999999999999,1472200,975100,497100,342700,131300,17700,11700,-6300,6700,400,21200,-20800,300,-1800,0,-22900,-22900,-22900
SYNA,6/30/2018,49.71,30.12,-39.40856970428485,1630300,1150200,480100,363200,154000,12000,12800,-61900,2300,-59600,22200,-81800,40500,-1800,0,-124100,-124100,-124100
SYNA,6/30/2017,52.15,50.25,-3.643336529242567,1718200,1194600,523600,292300,137600,17300,11700,64700,2600,67300,6000,61300,12200,-300,0,48800,48800,48800
RZLT,6/30/2019,9.9,4.65,-53.03030303030303,0,0,0,19079,6865,0,0,-25944,456,-25488,4958,-30446,0,0,0,-30446,-30446,-32719
RZLT,6/30/2018,21.5,9.9,-53.95348837209303,0,0,0,17280,9100,1691,0,-28734,-1102,-29173,689,-29862,0,0,0,-29862,-29862,-29862
RZLT,6/30/2017,42,25.5,-39.285714285714285,0,0,0,12095,8229,0,0,-20324,49,-20276,2,-20277,0,0,0,-20277,-20277,-23684
BEEM,12/31/2019,4.63,73.78,1493.5205183585315,5112,5265,-154,0,3118,0,0,-3272,57,-3214,716,-3931,3,0,0,-3934,-3934,-3934
BEEM,12/31/2018,10,4.66,-53.4,6162,6355,-192,0,2337,0,0,-2530,20,-2510,1089,-3599,0,0,0,-3599,-3599,-3599
BEEM,12/31/2017,7.655,9.75,27.367733507511424,1412,1885,-473,0,2228,0,0,-2700,134,-2566,475,-3041,1,0,0,-3041,-3041,-3041
BEEM,12/31/2016,6.75,7.75,14.814814814814815,2781,2926,-145,0,2644,0,0,-2788,432,-2356,276,-2632,2,0,0,-2634,-2634,-2634
WHF,12/31/2019,13.64,13.61,-0.21994134897361536,53605,0,53605,0,22409,0,0,31196,-355,44309,13468,30841,0,0,0,30841,30841,30841
WHF,12/31/2018,12.65,13.7,8.300395256916987,51647,0,51647,0,26647,0,0,25000,32301,68900,11599,57301,0,0,0,57301,57301,57301
WHF,12/31/2017,13.31,12.72,-4.432757325319308,44993,0,44993,0,18781,0,0,26212,8236,44259,9811,34448,0,0,0,34448,34448,34448
WHF,12/31/2016,12.18,13.18,8.210180623973727,45661,0,45661,0,18650,0,0,27011,4318,39517,8188,31329,0,0,0,31329,31329,31329
CVLT,3/31/2019,65.06,40.48,-37.78051029818629,710957,117006,593951,92647,471034,14765,10597,4908,5519,10427,0,10427,6866,0,0,3561,3561,3561
CVLT,3/31/2018,62.9,65.62,4.3243243243243334,699393,98152,601241,91030,501436,0,9721,-946,2228,-2339,1161,-3500,58400,-3621,0,-65521,-61900,-61900
CVLT,3/31/2017,50.7,63.4,25.04930966469427,645005,85192,559813,79558,472862,0,8635,-1242,1163,-1037,957,-1994,-1486,-958,0,-1466,-508,-508
HURN,12/31/2019,68.7,58.95,-14.192139737991265,965474,669673,295801,0,203071,659,28365,63706,4433,52491,0,52491,10512,0,0,41979,41743,41743
HURN,12/31/2018,51.02,68.72,34.692277538220296,877999,608707,269292,0,180983,1638,34575,52096,-7862,25221,0,25221,11277,0,0,13944,13646,13646
HURN,12/31/2017,40.6,51.31,26.379310344827584,807745,541174,266571,0,175364,260450,38213,-207456,3565,-222504,0,-222504,-51999,0,0,-170505,-170117,-170117
HURN,12/31/2016,49,40.75,-16.836734693877553,797984,524445,273539,0,158214,9592,31499,74234,1197,59157,0,59157,19677,0,0,39480,37617,37617
CSPI,9/30/2019,13.1657,8.63,-34.45088373576793,79061,61035,18026,2800,16052,0,0,-826,483,-343,99,-442,-71,0,0,-371,-371,-371
CSPI,9/30/2018,13.16,13.4202,1.977203647416408,72916,54517,18399,3277,16723,0,0,-1601,495,-1106,0,-1106,882,0,0,-1988,14440,13842
CSPI,9/30/2017,11.15,13.3708,19.917488789237655,88492,67069,21423,2362,15666,0,0,3395,10,3405,0,3405,1162,0,0,2243,2506,2398
PBT,12/31/2019,3.9,3.31,-15.128205128205124,20487,0,20487,0,1089,0,0,19398,23,19421,0,19421,0,0,0,19421,19421,19421
PBT,12/31/2018,5.89,3.86,-34.46519524617996,32088,0,32088,0,1325,0,0,30763,26,30789,0,30789,0,0,0,30789,30789,30789
PBT,12/31/2017,8.88,5.9,-33.55855855855856,30560,0,30560,0,1247,0,0,29313,13,29325,0,29325,0,0,0,29325,29325,29325
PBT,12/31/2016,7.8,8.86,13.589743589743584,21088,0,21088,0,1742,0,0,19346,3,19349,0,19349,0,0,0,19349,19349,19349
CNFRL,12/31/2019,22.85,21.2,-7.221006564551431,95998,84655,11343,0,0,0,17582,-9121,0,-6239,2882,-9121,-913,386,0,-8208,-7822,-7822
CNFRL,12/31/2018,21.75,22.35,2.758620689655179,98911,88049,10862,0,0,0,17683,-9465,0,-6821,2644,-9465,52,290,0,-9517,-9227,-9227
CNFRL,12/31/2017,25.5,21,-17.647058823529413,96837,100162,-3325,0,0,0,17367,-22054,0,-20692,1362,-22054,-447,65,0,-21607,-21542,-21542
CNFRL,12/31/2016,25.5,25.5,0.0,93883,84283,9600,0,0,0,17596,-8643,0,-7996,647,-8643,-77,129,0,-8566,-8437,-8437
GAU,12/31/2019,0.97,1.13,16.494845360824737,0,0,0,0,11828,0,0,-11828,851,-132278,35650,-167928,0,-121301,0,-289229,-167928,-167928
GAU,12/31/2018,0.658,0.95,44.37689969604862,161918,129048,32870,2333,11660,0,0,18877,-137686,-117967,10737,-128704,12509,842,0,-140371,-141213,-141213
GAU,12/31/2017,0.707,0.6386,-9.674681753889677,256203,193591,62612,2050,12590,0,0,47972,226,48198,17810,30388,24075,0,0,6313,6313,6313
GAU,12/31/2016,3.13,0.719,-77.02875399361022,175909,141646,34263,1425,12538,7123,0,13177,-1106,12071,13849,-1778,11438,0,0,-13216,-13216,-13216
HWKN,3/31/2019,37,35.6,-3.7837837837837798,556326,460390,95936,0,59118,0,0,36818,73,36891,3361,33530,9097,0,0,24433,24433,24433
HWKN,4/1/2018,34.9,37.24,6.7048710601719295,504169,417409,86760,0,59403,39116,0,-11759,91,-11668,3408,-15076,-5899,0,0,-9177,-9177,-9177
HWKN,4/2/2017,49.3,32.1,-34.88843813387423,483593,385520,98073,0,59381,0,0,38692,0,38692,2644,36048,13493,0,0,22555,22555,22555
TWLO,12/31/2019,100.01,338.5,238.4661533846615,1134468,525551,608917,391355,587347,0,0,-369785,7569,-362216,0,-362216,-55153,0,0,-307063,-307063,-307063
TWLO,12/31/2018,87.45,98.28,12.384219554030873,650067,300841,349226,171358,293103,0,0,-115235,-5923,-121158,0,-121158,791,0,0,-121949,-121949,-121949
TWLO,12/31/2017,24.13,89.3,270.07874015748035,399020,182895,216125,120739,161460,0,0,-66074,3071,-63003,0,-63003,705,0,0,-63708,-63708,-63708
TWLO,12/31/2016,29.25,25.1,-14.188034188034184,277335,120520,156815,77926,120204,0,0,-41315,317,-40998,0,-40998,326,0,0,-41324,-41324,-41324
MANT,12/31/2019,80.36,88.94,10.67695370831259,2222559,1893461,329098,0,190773,0,0,138325,367,138692,2594,136098,22212,4,0,113890,113890,113890
MANT,12/31/2018,51.37,79.88,55.49931866848355,1958557,1678100,280457,0,167715,0,0,112742,241,112983,2378,110605,28530,22,0,82097,82097,82097
MANT,12/31/2017,50.51,52.295,3.5339536725400986,1717018,1463599,253419,0,155225,0,0,98194,423,98617,1375,97242,-16859,40,0,114141,114141,114141
MANT,12/31/2016,42.52,50.1,17.826904985888987,1601596,1369775,231821,0,140858,0,0,90963,204,91167,1097,90070,33786,107,0,56391,56391,56391
ICHR,12/27/2019,33.86,30.5,-9.923213230950973,620837,534473,86364,11102,47270,0,13015,14977,-55,14922,10647,4275,-6454,0,0,10729,10729,10729
ICHR,12/28/2018,16.13,33.71,108.98946063236208,823611,687474,136137,9355,47448,0,15369,63965,241,64206,9987,54219,-3664,0,0,57883,57883,57883
ICHR,12/29/2017,24.95,16.3,-34.66933867735471,655892,555131,100761,7899,37802,0,8880,46180,126,46306,3277,43029,-13886,0,0,56915,56454,56454
ICHR,12/30/2016,11.02,25.9,135.02722323049002,405747,340352,65395,6383,28126,0,7015,23871,629,24500,4370,20130,-649,0,0,20779,16662,1378
PCG,12/31/2019,10.91,12.46,14.20714940421632,17129000,12554000,4575000,0,11435000,0,3234000,-10094000,-14000,-10108000,934000,-11042000,-3400000,0,0,-7642000,-7642000,-7656000
PCG,12/31/2018,23.55,10.87,-53.84288747346073,16759000,11652000,5107000,0,11771000,0,3036000,-9700000,500000,-9200000,929000,-10129000,-3292000,0,0,-6837000,-6837000,-6851000
PCG,12/31/2017,44.34,23.75,-46.43662607126748,17135000,11376000,5759000,0,0,0,2854000,2905000,154000,3059000,888000,2171000,511000,0,0,1660000,1660000,1646000
PCG,12/31/2016,60.81,44.49,-26.83769116921559,17666000,12706000,4960000,0,125000,0,2755000,2080000,211000,2291000,829000,1462000,55000,0,0,1407000,1407000,1393000
USIO,12/31/2019,1.679,2.67,59.023228111971406,28201,22251,5949,0,8990,0,2023,-5063,49,-5014,0,-5014,102,0,0,-5116,-5116,-5116
USIO,12/31/2018,1.67,1.56,-6.586826347305382,25024,19455,5570,0,7468,0,1876,-3775,76,-3698,0,-3698,78,0,0,-3776,-3776,-3776
USIO,12/31/2017,2.61,1.66,-36.39846743295019,14571,10803,3768,0,5347,0,1258,-2837,103,-2734,0,-2734,274,0,0,-3009,-3009,-3009
USIO,12/31/2016,1.85,2.56,38.37837837837838,12076,8293,3783,0,4242,0,902,-1361,197,-1164,0,-1164,33,0,0,-1197,-1197,-1197
GAB,12/31/2008,5.86,5.86,0.0,35331,12610,22721,0,1749,0,0,20971,-747207,20971,22,20950,0,0,0,-726257,-726257,-745545
GAB,12/31/2007,5.86,5.86,0.0,236082,21103,214978,0,2742,0,0,212236,0,19072,3,19069,0,0,0,212233,212233,188867
GAB,12/31/2006,5.86,5.86,0.0,415353,19277,396076,0,1549,0,0,394527,0,30936,0,30936,0,0,0,394527,394527,369579
GAB,12/31/2005,5.86,5.86,0.0,165296,14461,150835,0,2657,0,0,148179,-60827,15622,0,15622,0,0,0,87351,87351,65170
CHFS,12/31/2019,26.4026,6.97,-73.60108474165423,5511,2660,2851,4672,16285,0,0,-18106,0,-18106,0,-18106,8,0,0,-18114,-18114,-18114
CHFS,12/31/2018,193.2155,25.8386,-86.6270563179455,4998,3670,1328,3053,15311,0,0,-17036,10,-17026,0,-17026,6,0,0,-17032,-17032,-17032
CHFS,12/31/2017,1453.3163,205.0604,-85.89017407979253,3553,2763,790,1481,10170,3951,0,-14812,1436,-13376,0,-13376,6,0,0,-13382,-13382,-13382
CHFS,12/31/2016,100818.1466,1495.3196,-98.51681502742484,1289,713,576,8109,8129,0,0,-15662,320,-15342,504,-15846,-54,0,0,-15792,-15792,-15792
CSSE,12/31/2019,8,19.99,149.87499999999997,55364,40424,14940,0,27778,0,13293,-26131,-4279,-30410,811,-31221,585,0,134,-31672,-31672,-34977
CSSE,12/31/2018,7.42,8,7.816711590296497,26860,12346,14514,0,13412,0,327,775,-358,417,388,29,874,0,0,-845,-845,-1958
CSSE,12/31/2017,9,7.52,-16.44444444444445,10657,4237,6420,0,7003,0,10,-593,22140,21546,1190,20356,-725,0,0,21081,21081,21081
CSSE,12/31/2016,13,9.06,-30.307692307692303,8119,3156,4963,0,3183,0,0,1780,0,1780,560,1220,439,0,0,781,781,781
PBC,6/30/2019,25.75,24.3,-5.631067961165046,546536,0,546536,0,233677,0,0,312859,-168372,310205,157231,152974,0,0,0,144487,144487,144487
PBC,6/30/2018,24.39,25.68,5.289052890528902,502806,0,502806,0,215956,0,0,286850,13013,462496,155039,307457,0,0,0,299863,299863,299863
PBC,6/30/2017,24.39,24.39,0.0,536198,0,536198,0,230116,0,0,306082,-53176,424765,164848,259917,0,0,0,252906,252906,252906
CANF,12/31/2019,3.33,1.78,-46.546546546546544,0,0,0,492,2678,0,0,-3170,0,-3450,0,-3450,0,0,0,-3450,-3450,-3902
CANF,12/31/2018,19.199,3.3,-82.81160477108182,0,0,0,694,2936,0,0,-3630,0,-3279,0,-3279,0,0,0,-3279,-3279,-3571
CANF,12/31/2017,23.6988,18.8991,-20.2529241986936,0,0,0,450,1031,0,0,-1481,0,-2966,0,-2966,0,0,0,-2966,-2966,-2969
