Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin.,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
OPNT,12/31/2018,14.01,14.4,2.783725910064244,13982,0,13982,8479,25203,1491,0,-21190,46,-21144,0,-21144,51,0,0,-21195,-21195,-21195
OPNT,7/31/2017,13.01,14.31,9.992313604919298,18446,0,18446,3172,8182,0,0,7093,38,7131,0,7131,550,0,0,6581,6581,6581
OPNT,7/31/2015,9,7.83,-13.0,1550,0,1550,2415,6035,0,0,-6899,-110,-7010,28,-7038,0,0,0,-7038,-7038,-7038
PAA,12/31/2019,18.5,8.24,-55.45945945945946,33669000,30755000,2914000,0,297000,0,601000,1988000,267000,2671000,425000,2246000,66000,388000,-9000,2559000,2171000,2171000
PAA,12/31/2018,19.72,18.39,-6.744421906693704,34055000,31056000,2999000,0,316000,0,520000,2277000,307000,2845000,431000,2414000,198000,375000,0,2591000,2216000,2216000
PAA,12/31/2017,20.84,20.04,-3.8387715930902147,26223000,24168000,2055000,0,276000,0,517000,1153000,-140000,1412000,510000,902000,44000,290000,-2000,1146000,856000,856000
PAA,12/31/2016,32.5,21.29,-34.49230769230769,20182000,18415000,1767000,0,279000,0,514000,994000,53000,1222000,467000,755000,25000,195000,-4000,921000,726000,726000
BRKR,12/31/2019,51.73,54.13,4.639474192924813,2072600,1077300,995300,187700,506700,0,0,300900,0,280400,0,280400,82400,0,-800,197200,197200,197200
BRKR,12/31/2018,29.39,50.97,73.42633548826132,1895600,995600,900000,173400,464200,0,0,262400,0,244700,0,244700,63700,0,-1300,179700,179700,179700
BRKR,12/31/2017,34.5,29.77,-13.710144927536234,1765900,949900,816000,161600,434900,0,0,219500,0,197800,0,197800,117500,0,-1700,78600,78600,78600
BRKR,12/31/2016,21.2,34.52,62.8301886792453,1611300,866000,745300,147900,415600,0,0,181800,0,177600,0,177600,23100,0,-900,153600,153600,153600
WFC,12/31/2019,53.85,30.18,-43.95543175487465,103915000,8635000,0,0,58070000,0,2795000,0,0,34415000,10217000,24198000,4157000,2843000,-492000,22392000,19549000,17938000
WFC,12/31/2018,45.525,53.8,18.17682591982427,101060000,5622000,0,0,55068000,0,2802000,0,0,37568000,9030000,28538000,5662000,1515000,-483000,23908000,22393000,20689000
WFC,12/31/2017,61.04,46.08,-24.50851900393185,97741000,3013000,0,0,57332000,0,3680000,0,0,33716000,6339000,27377000,4917000,1779000,-277000,23962000,22183000,20554000
WFC,12/31/2016,55.67,61.09,9.735943955451773,94176000,1395000,0,0,51185000,0,4962000,0,0,36634000,4514000,32120000,10075000,1103000,-107000,23041000,21938000,20373000
WEX,12/31/2019,210.99,203.53,-3.5357125930138906,1723691,659770,1063921,0,535676,0,142404,385841,-34648,351193,134677,216516,61223,0,-56287,99006,99006,99006
WEX,12/31/2018,137.6,209.46,52.22383720930234,1492639,547929,944710,0,438553,5649,119870,380638,-36996,343642,105023,238619,68843,0,-1481,168295,168295,168295
WEX,12/31/2017,141.74,140.06,-1.1852688020318942,1248577,514285,734292,0,347993,44171,129663,233423,69018,281483,107067,174416,15450,0,1096,160062,160062,160062
WEX,12/31/2016,113.17,142.04,25.51029424759211,1012488,458807,553681,0,316384,0,78772,158525,3823,162348,113418,48930,28592,0,3161,23499,23499,23499
KIRK,2/2/2019,10.23,1.18,-88.4652981427175,647071,444002,203069,0,190954,0,7234,4881,1197,6078,267,5811,2031,0,0,3780,3780,3780
KIRK,2/3/2018,10.77,10.45,-2.9712163416898822,634117,426581,207536,0,191194,0,6990,9352,739,10091,275,9816,4520,0,0,5296,5296,5296
KIRK,1/28/2017,13.51,11.61,-14.063656550703184,594328,391836,202492,0,179150,0,6343,16999,252,17251,276,16975,5929,0,0,11046,11046,11046
BSM,12/31/2019,12.71,6.68,-47.44295830055076,487821,78198,409623,0,63353,397,110701,235172,631,235803,21435,214368,0,0,0,214368,214368,193368
BSM,12/31/2018,15.34,12.72,-17.07953063885267,609568,82779,526789,0,76709,7943,123756,318381,-2065,316316,20756,295560,0,0,-24,295536,295536,274511
BSM,12/31/2017,17.97,15.48,-13.856427378964932,429659,64754,364905,0,76643,618,115560,172084,763,172847,15694,157153,0,0,34,157187,157187,152145
BSM,12/31/2016,19.01,17.98,-5.418200946870074,260833,54219,206614,0,68346,7420,103379,27469,266,27735,7547,20188,0,0,12,20200,20200,14437
CAAP,12/31/2019,6.1,3.99,-34.59016393442622,1558640,1138425,420215,0,153779,42801,0,223635,26498,244780,233521,11259,17079,-5353,0,-11173,-5820,-5820
CAAP,12/31/2018,6.64,6,-9.638554216867465,1426145,971425,454720,0,155746,0,0,298974,39821,334649,331147,3502,14101,-4146,0,-14745,-10599,-10599
CAAP,12/31/2017,17,6.63,-61.0,1575153,1029983,545170,0,179086,-3065,0,369149,62555,415863,302047,113816,46925,-15841,0,51050,66891,66891
CAAP,12/31/2016,17,16.4,-3.5294117647058907,1366336,859074,507262,0,158811,16638,0,331813,37521,368028,272951,95077,56359,-1306,0,38718,29240,29240
DHIL,12/31/2019,141.11,149.27,5.782722698603923,136624,0,136624,0,88689,0,0,47935,30507,78443,0,78443,18688,0,-4795,54959,54959,54959
DHIL,12/31/2018,148.05,140.46,-5.12664640324215,145628,0,145628,0,74371,0,0,71256,-6273,64984,0,64984,18669,0,1061,47376,47376,47376
DHIL,12/31/2017,207,149.45,-27.801932367149764,145202,0,145202,0,78200,0,0,67001,14018,81019,0,81019,29417,0,-1613,49989,49989,49989
DHIL,12/31/2016,209.36,205.57,-1.810278945357289,136103,0,136103,0,73034,0,0,63069,10193,73262,0,73262,26668,0,-542,46052,46052,46052
ISBC,12/31/2019,11.95,10.56,-11.631799163179908,1093632,261857,0,0,422754,0,-1000,0,0,410021,123289,286732,91248,0,0,195484,195484,195484
ISBC,12/31/2018,10.28,11.915,15.904669260700388,978497,188645,0,0,407680,0,12000,0,0,370172,99754,270418,67842,0,0,202576,202576,202576
ISBC,12/31/2017,13.94,10.4,-25.394548063127683,917320,113543,0,0,418574,0,16250,0,0,368953,88364,280589,153845,0,0,126744,126744,126744
ISBC,12/31/2016,14.15,13.82,-2.3321554770318027,830722,82057,0,0,358564,0,19750,0,0,370351,71279,299072,106947,0,0,192125,192125,192125
ETO,10/31/2008,21.07,21.1,0.14238253440911788,43893,4272,39621,0,352,0,0,39268,-281377,39268,2479,36789,0,0,0,-244588,-244588,-247486
ETO,10/31/2007,21.07,21.1,0.14238253440911788,156990,4478,152512,0,561,0,61,151890,-740,36606,0,36606,0,0,0,151150,151150,144493
ETO,10/31/2006,21.07,21.1,0.14238253440911788,47402,2416,44987,0,324,0,0,44663,-6846,21124,0,21124,0,0,0,37818,37818,37818
ETO,3/31/2006,21.07,21.1,0.14238253440911788,101585,3829,97755,0,515,0,0,97240,-1857,28005,0,28005,0,0,0,95383,95383,90447
