Symbol,Period Ending,Next Period Start Opening Price (Period Ending + 1 Day),Next Period End Closing Price (Period Ending + 1 year),Price Percentage Change,Net Income,Depreciation,Net Income Adjustments,Accounts Receivable,Changes in Inventories,Other Operating Activities,Liabilities,Net Cash Flow-Operating,Capital Expenditures,Investments,Other Investing Activities,Net Cash Flows-Investing,Sale and Purchase of Stock,Net Borrowings,Other Financing Activities,Net Cash Flows-Financing,Effect of Exchange Rate,Net Cash Flow
BPYUP,12/31/2017,24.335,22.121,-9.098006985822897,657334,727086,-74676,13777,-6103,0,-36691,1294612,-893516,-23787,62007,-855296,293489,12212,15959,-738263,-819,-299766
BPYUP,12/31/2016,24.335,24.335,0.0,1288367,696725,-810749,-27924,-37489,0,2131,1136151,-1125292,-53425,1700128,521411,-33132,-848508,44163,-1564114,0,93448
SNCR,12/31/2019,4.79,4.7,-1.8789144050104354,-103467,77288,50176,-22224,10891,0,19919,32583,-8183,35139,-7579,19377,0,-114206,24,-121257,-1562,-70859
SNCR,12/31/2018,6.07,4.75,-21.746293245469527,-226992,98493,154649,-13368,-21521,0,-4342,-31369,-11656,-31520,-24106,-67282,86220,-115030,0,-35885,-1729,-136265
SNCR,12/31/2017,9.02,6.14,-31.929046563192905,-118729,106939,82920,-40890,29283,0,-2276,-18248,-12151,6573,103823,98245,1047,-31985,35612,-35664,-9641,34692
SNCR,12/31/2016,38.76,9.13,-76.44478844169245,-3309,97934,42613,31003,-13650,0,40528,104559,-42570,69459,-66664,-39775,-24209,25185,0,-370,-853,63561
ORTX,12/31/2019,13.81,4.32,-68.71832005792903,-163422,-2856,15020,1207,-16849,0,-2087,-166131,-4367,-304991,0,-309358,132987,24466,0,157453,1672,-316364
ORTX,12/31/2018,15.66,13.75,-12.196679438058748,-230495,-5101,96441,53391,-11006,0,-5867,-97536,-4032,0,0,-4032,354864,0,0,354864,-3471,249825
ORTX,12/31/2017,17,15.73,-7.470588235294115,-39744,302,4145,6715,-152,0,-3753,-32487,-1559,0,0,-1559,115696,0,0,115696,4709,86359
ORTX,12/31/2016,17,14,-17.647058823529413,-19085,6,3004,2148,0,0,-639,-14566,-190,0,0,-190,18034,0,0,18034,-751,2527
OPNT,12/31/2019,14.95,8.03,-46.2876254180602,11593,238,3181,-7137,-2729,0,-1082,4064,-302,0,0,-302,2675,-70,0,2605,0,6367
OPNT,12/31/2018,14.01,14.4,2.783725910064244,-21195,3,6543,6136,7207,0,783,-523,0,0,0,0,17187,-166,0,17021,0,16498
OPNT,7/31/2017,13.01,14.31,9.992313604919298,6581,5,1697,853,-3438,0,-142,5556,0,0,0,0,0,-165,0,-165,0,5391
OPNT,7/31/2015,9,7.83,-13.0,-7038,1,1729,1827,0,0,-759,-4239,0,0,0,0,0,-220,4639,4419,0,179
PAA,12/31/2019,18.5,8.24,-55.45945945945946,2171000,601000,-265000,1151000,-1158000,-5000,0,2504000,-1255000,-574000,64000,-1765000,128000,416000,-62000,-720000,-3000,16000
PAA,12/31/2018,19.72,18.39,-6.744421906693704,2216000,520000,5000,-367000,309000,-75000,0,2608000,-1679000,-458000,1324000,-813000,0,-701000,-24000,-1757000,-9000,29000
PAA,12/31/2017,20.84,20.04,-3.8387715930902147,856000,517000,183000,847000,-511000,605000,0,2499000,-1026000,-1675000,1131000,-1570000,2452000,-2004000,0,-943000,4000,-10000
PAA,12/31/2016,32.5,21.29,-34.49230769230769,726000,514000,-32000,508000,-524000,-463000,0,733000,-1341000,-583000,651000,-1273000,2407000,-186000,-38000,556000,4000,20000
WFC,12/31/2019,53.85,30.18,-43.95543175487465,19549000,7075000,-42004000,2429000,0,0,19189000,6730000,0,-33762000,4131000,-29631000,-26216000,-8890000,35559000,-9136000,0,-32037000
WFC,12/31/2018,45.525,53.8,18.17682591982427,22393000,5593000,-37873000,-865000,0,0,46342000,36073000,0,-10567000,2813000,-7754000,-22613000,9561000,-48613000,-70979000,0,-42660000
WFC,12/31/2017,61.04,46.08,-24.50851900393185,22183000,5406000,-42016000,4837000,0,0,27932000,18619000,0,-17321000,4169000,-13152000,-7990000,-23207000,29386000,-10920000,0,-5453000
WFC,12/31/2016,55.67,61.09,9.735943955451773,21938000,4970000,-78755000,-211000,0,0,52959000,1008000,0,-118138000,-23781000,-141919000,-4788000,54451000,82166000,122791000,0,-18120000
BSM,12/31/2019,12.71,6.68,-47.44295830055076,214368,111742,53304,-1571,35044,0,-167,412720,-111301,0,62678,-48623,-16972,-16000,0,-361392,0,2705
BSM,12/31/2018,15.34,12.72,-17.07953063885267,295536,124661,-14867,11345,-31531,0,210,385378,-297335,0,133531,-163804,26137,20758,0,-221802,0,-228
BSM,12/31/2017,17.97,15.48,-13.856427378964932,157187,116437,20422,-5899,-6084,0,-177,281852,-484522,0,30273,-454249,298038,68925,0,168267,0,-4130
BSM,12/31/2016,19.01,17.98,-5.418200946870074,20200,104250,126373,-24216,-29759,0,-180,196656,-221740,0,198,-221542,-45897,249761,0,21425,0,-3461
CAAP,12/31/2019,6.1,3.99,-34.59016393442622,-5820,182270,-42744,0,0,0,-153419,-19713,-17117,0,4971,-12146,27506,103513,-83962,24575,-41885,-7284
CAAP,12/31/2018,6.64,6,-9.638554216867465,-10599,175829,106239,0,0,0,-79808,191661,-11139,-3583,-44463,-59185,290447,-229794,-111368,-65680,-43532,66796
CAAP,12/31/2017,17,6.63,-61.0,66891,138130,-3490,0,0,0,-250953,-49422,-11503,0,-33659,-45162,-22293,282037,-106953,128955,5114,34371
CAAP,12/31/2016,17,16.4,-3.5294117647058907,29240,122882,165002,0,0,0,-170078,172772,-10391,0,46235,35844,29512,-90594,-48564,-159379,-4762,28227
PEAK,12/31/2019,34.6,30.23,-12.63005780346821,45530,689014,75110,71659,-49771,0,0,846073,-2231189,651441,130970,-1448778,794342,653668,-80616,647271,245,44811
PEAK,12/31/2018,27.66,34.47,24.62039045553145,1061093,578674,-849750,40625,5686,0,0,848709,-929723,820718,1938284,1829279,431036,-2313107,-41552,-2620536,191,57643
PEAK,12/31/2017,26.08,27.93,7.093558282208595,414169,563553,-119181,4817,-24782,0,0,847041,-934232,981424,1199065,1246257,-32633,-1369458,-51415,-2148461,376,-54787
PEAK,12/31/2016,29.88,25.91,-13.286479250334668,627747,615896,-76723,42024,-6992,0,0,1214131,-888484,-96801,556312,-428973,43318,-1748357,1630316,-1054265,-1019,-270126
GTES,12/28/2019,13.68,12.95,-5.336257309941524,690100,222200,-632200,-45500,41800,65100,3400,348900,-72100,0,-5900,-78000,1800,-25100,1100,-59300,400,212000
GTES,12/29/2018,13.18,13.73,4.172989377845226,245300,218500,-16400,8700,-49600,-96100,-22700,313500,-166100,0,-77500,-243600,791100,-960500,5700,-198900,-12400,-141400
GTES,12/30/2017,19.05,13.24,-30.498687664041995,151300,212200,-59800,47000,-24600,-45400,7800,319900,-101100,0,-125900,-227000,-3300,-32200,3600,-75300,19600,37200
GTES,12/31/2016,19.05,18.5,-2.887139107611552,57700,240800,-46000,104200,-44800,39500,-1300,376700,-59000,0,-8900,-67900,-900,-67200,-3800,-110800,-9400,188600
ALRN,12/31/2019,0.58,1.04,79.31034482758622,-29369,-76,2045,-262,0,0,1112,-26474,-151,-2663,0,-2814,23964,0,0,23964,0,-5324
ALRN,12/31/2018,0.84,0.573,-31.785714285714292,-31547,-35,3234,489,0,0,-102,-27926,-4423,29111,0,24688,42,0,2473,2515,0,-723
ALRN,12/31/2017,10.59,0.84,-92.06798866855524,-22604,-23,1715,975,0,0,-617,-20531,-142,-38770,0,-38912,50591,0,0,50591,0,-8852
ALRN,12/31/2016,13.75,10.52,-23.490909090909096,-18123,232,2182,1548,0,0,-853,-15014,0,0,-25,-25,31986,0,0,31986,0,16947
SPGI,12/31/2019,274.57,328.73,19.725388789743974,2123000,204000,271000,272000,-135000,0,-139000,2776000,-115000,-10000,-6000,-131000,-1200000,218000,-66000,-1751000,34000,928000
SPGI,12/31/2018,169.27,273.05,61.31033260471436,1958000,206000,249000,-211000,-164000,0,-137000,2064000,-113000,-5000,-395000,-513000,-1651000,86000,-66000,-2288000,-84000,-821000
SPGI,12/31/2017,169.74,169.94,0.11782726522916732,1496000,180000,266000,71000,-196000,0,57000,2016000,-123000,-5000,-81000,-209000,-926000,0,-49000,-1507000,87000,387000
SPGI,12/31/2016,108.41,168.12,55.077944839037,2106000,181000,-853000,-43000,-177000,0,224000,1560000,-115000,-1000,1287000,1171000,-1035000,-71000,-60000,-1662000,-158000,911000
OMF,12/31/2019,42.33,48.16,13.772738010866993,855000,271000,1169000,0,0,0,67000,2362000,0,-3417000,-12000,-3429000,0,1934000,-5000,1521000,0,454000
OMF,12/31/2018,23.88,42.15,76.50753768844221,447000,289000,1224000,0,0,0,86000,2046000,0,-2365000,-32000,-2397000,0,54000,-10000,44000,0,-307000
OMF,12/31/2017,26.17,24.29,-7.183798242262141,183000,328000,1027000,0,0,0,17000,1555000,0,-2189000,-3000,-2192000,0,980000,-5000,975000,0,338000
OMF,12/31/2016,22.81,26.3,15.300306882946087,215000,521000,677000,0,0,0,-119000,1322000,0,-87000,-19000,-106000,0,-1660000,-25000,-1685000,1000,-468000
ASPU,4/30/2019,4.548,7.9,73.70272647317503,-9278,2274,2107,578,-6296,0,399,-10216,-2532,0,-92,-2623,98,7905,0,8004,0,-4835
ASPU,4/30/2018,7.8,4.56,-41.53846153846154,-7061,2002,1153,2324,-3509,0,-520,-5610,-1837,953,-2638,-3521,21178,0,0,21178,0,12047
ASPU,4/30/2017,4.9,7.77,58.571428571428555,-1105,722,589,1375,-3046,0,-22,-1488,-805,-900,-9,-1713,6936,-1362,-400,5174,0,1972
MICT,12/31/2019,0.94,2.08,121.27659574468088,-4217,88,1415,-431,-447,348,0,-3797,-57,-375,-608,-1040,6152,-274,0,5878,0,1041
MICT,12/31/2018,0.68,0.8903,30.926470588235283,-2610,1418,-3223,-4009,4081,534,0,-5315,-44,0,4295,4251,553,775,-334,994,0,-70
MICT,12/31/2017,1.77,0.6611,-62.64971751412429,-8157,1322,162,3754,-3211,-1040,0,-4073,-189,3049,0,2860,4698,-2311,0,2387,91,1174
MICT,12/31/2016,1.37,1.36,-0.7299270072992706,-5807,1268,1100,-2500,810,969,0,-4615,-151,2637,119,2605,642,-161,0,481,-121,-1529
AVNW,6/28/2019,13.25,18.06,36.30188679245282,9738,4468,-6839,6997,-11371,871,-920,2944,-5246,0,0,-5246,-2281,0,-671,-2952,-309,-5563
AVNW,6/29/2018,16.3,13.2459,-18.73680981595092,1845,5199,-376,805,761,170,-652,8209,-6563,264,0,-6299,12,0,0,12,-727,1195
AVNW,6/30/2017,17.46,17.04,-2.4054982817869512,-823,5840,2547,-12386,11192,6473,-3640,9405,-4021,-17,0,-4038,21,0,0,21,-244,5144
OLB,12/31/2019,15,4.94,-67.06666666666666,-1343,842,265,587,-73,0,-32,245,0,0,0,0,-210,361,0,151,0,396
OLB,12/31/2018,5.5,15,172.72727272727272,-1394,583,216,371,64,0,29,-131,0,175,43,218,0,25,0,25,0,112
OLB,12/31/2017,5.5,5.5,0.0,-662,0,3,633,-28,0,0,-55,0,0,0,0,0,54,0,54,0,-1
OLB,12/31/2016,5.5,5.5,0.0,-313,0,0,148,0,0,0,-165,0,0,0,0,0,163,0,163,0,-2
SHAK,12/25/2019,60,86.13,43.54999999999999,19827,40704,42477,-19595,10726,-472,-8111,89857,-106507,25821,0,-80686,9201,-1926,-2103,3178,0,12349
SHAK,12/26/2018,42.94,60.94,41.91895668374476,15179,29000,8530,22627,5530,-491,-1749,85395,-87525,921,0,-86604,5472,0,-269,4452,0,3243
SHAK,12/27/2017,44.41,43.58,-1.8689484350371501,-320,21704,25666,5849,6421,-452,2806,70878,-61533,-410,0,-61943,7585,0,-4241,965,0,9900
SHAK,12/28/2016,36.8,44.5,20.92391304347827,12446,14502,4466,8623,2974,-263,1837,54285,-54433,-60328,0,-114761,3194,-313,65,1234,0,-59242
EL,6/30/2019,184.88,188.68,2.055387278234537,1785000,557000,168000,604000,-169000,-375000,-62000,2517000,-744000,1215000,2000,473000,-1363000,-172000,-23000,-2173000,-11000,806000
EL,6/30/2018,142.23,182.23,28.123461998171976,1108000,531000,350000,815000,-105000,-147000,1000,2562000,-629000,271000,0,-358000,-577000,-10000,-35000,-1172000,13000,1045000
